id;vigencia_inicio;valor;versao
1882, DATE '1971-12-01', 225.60, 0
1883, DATE '1972-01-01', 225.60, 0
1884, DATE '1972-02-01', 225.60, 0
1885, DATE '1972-03-01', 225.60, 0
1886, DATE '1972-04-01', 225.60, 0
1887, DATE '1972-05-01', 268.80, 0
1888, DATE '1972-06-01', 268.80, 0
1889, DATE '1972-07-01', 268.80, 0
1890, DATE '1972-08-01', 268.80, 0
1891, DATE '1972-09-01', 268.80, 0
1892, DATE '1972-10-01', 268.80, 0
1893, DATE '1972-11-01', 268.80, 0
1894, DATE '1972-12-01', 268.80, 0
1895, DATE '1973-01-01', 268.80, 0
1896, DATE '1973-02-01', 268.80, 0
1897, DATE '1973-03-01', 268.80, 0
1898, DATE '1973-04-01', 268.80, 0
1899, DATE '1973-05-01', 312.00, 0
1900, DATE '1973-06-01', 312.00, 0
1901, DATE '1973-07-01', 312.00, 0
1902, DATE '1973-08-01', 312.00, 0
1903, DATE '1973-09-01', 312.00, 0
1904, DATE '1973-10-01', 312.00, 0
1905, DATE '1973-11-01', 312.00, 0
1906, DATE '1973-12-01', 312.00, 0
1907, DATE '1974-01-01', 312.00, 0
1908, DATE '1974-02-01', 312.00, 0
1909, DATE '1974-03-01', 312.00, 0
1910, DATE '1974-04-01', 312.00, 0
1911, DATE '1974-05-01', 376.80, 0
1912, DATE '1974-06-01', 376.80, 0
1913, DATE '1974-07-01', 376.80, 0
1914, DATE '1974-08-01', 376.80, 0
1915, DATE '1974-09-01', 376.80, 0
1916, DATE '1974-10-01', 376.80, 0
1917, DATE '1974-11-01', 376.80, 0
1918, DATE '1974-12-01', 376.80, 0
1919, DATE '1975-01-01', 376.80, 0
1920, DATE '1975-02-01', 376.80, 0
1921, DATE '1975-03-01', 376.80, 0
1922, DATE '1975-04-01', 376.80, 0
1923, DATE '1975-05-01', 532.80, 0
1924, DATE '1975-06-01', 532.80, 0
1925, DATE '1975-07-01', 532.80, 0
1926, DATE '1975-08-01', 532.80, 0
1927, DATE '1975-09-01', 532.80, 0
1928, DATE '1975-10-01', 532.80, 0
1929, DATE '1975-11-01', 532.80, 0
1930, DATE '1975-12-01', 532.80, 0
1931, DATE '1976-01-01', 532.80, 0
1932, DATE '1976-02-01', 532.80, 0
1933, DATE '1976-03-01', 532.80, 0
1934, DATE '1976-04-01', 532.80, 0
1935, DATE '1976-05-01', 768.00, 0
1936, DATE '1976-06-01', 768.00, 0
1937, DATE '1976-07-01', 768.00, 0
1938, DATE '1976-08-01', 768.00, 0
1939, DATE '1976-09-01', 768.00, 0
1940, DATE '1976-10-01', 768.00, 0
1941, DATE '1976-11-01', 768.00, 0
1942, DATE '1976-12-01', 768.00, 0
1943, DATE '1977-01-01', 768.00, 0
1944, DATE '1977-02-01', 768.00, 0
1945, DATE '1977-03-01', 768.00, 0
1946, DATE '1977-04-01', 768.00, 0
1947, DATE '1977-05-01', 1106.40, 0
1948, DATE '1977-06-01', 1106.40, 0
1949, DATE '1977-07-01', 1106.40, 0
1950, DATE '1977-08-01', 1106.40, 0
1951, DATE '1977-09-01', 1106.40, 0
1952, DATE '1977-10-01', 1106.40, 0
1953, DATE '1977-11-01', 1106.40, 0
1954, DATE '1977-12-01', 1106.40, 0
1955, DATE '1978-01-01', 1106.40, 0
