c0;c1;c2;c3;c4;c5;c6;c7;c8;c9;c10;c11;c12;c13;c14;c15;c16;c17;c18;c19
406, DATE '2006-10-01', 0.00, 840.55, 7.65, 840.56, 1050.00, 8.65, 1050.01, 1400.91, 9.00, 1400.92, NULL, 11.00, NULL, NULL, NULL, 308.20, 0.00
407, DATE '2006-11-01', 0.00, 840.55, 7.65, 840.56, 1050.00, 8.65, 1050.01, 1400.91, 9.00, 1400.92, NULL, 11.00, NULL, NULL, NULL, 308.20, 0.00
408, DATE '2006-12-01', 0.00, 840.55, 7.65, 840.56, 1050.00, 8.65, 1050.01, 1400.91, 9.00, 1400.92, NULL, 11.00, NULL, NULL, NULL, 308.20, 0.00
409, DATE '2007-01-01', 0.00, 840.55, 7.65, 840.56, 1050.00, 8.65, 1050.01, 1400.91, 9.00, 1400.92, NULL, 11.00, NULL, NULL, NULL, 308.20, 0.00
410, DATE '2007-02-01', 0.00, 840.55, 7.65, 840.56, 1050.00, 8.65, 1050.01, 1400.91, 9.00, 1400.92, NULL, 11.00, NULL, NULL, NULL, 308.20, 0.00
412, DATE '2007-04-01', 0.00, 868.29, 7.65, 868.30, 1140.00, 8.65, 1140.01, 1447.14, 9.00, 1447.15, NULL, 11.00, NULL, NULL, NULL, 318.37, 0.00
413, DATE '2007-05-01', 0.00, 868.29, 7.65, 868.30, 1140.00, 8.65, 1140.01, 1447.14, 9.00, 1447.15, NULL, 11.00, NULL, NULL, NULL, 318.37, 0.00
414, DATE '2007-06-01', 0.00, 868.29, 7.65, 868.30, 1140.00, 8.65, 1140.01, 1447.14, 9.00, 1447.15, NULL, 11.00, NULL, NULL, NULL, 318.37, 0.00
415, DATE '2007-07-01', 0.00, 868.29, 7.65, 868.30, 1140.00, 8.65, 1140.01, 1447.14, 9.00, 1447.15, NULL, 11.00, NULL, NULL, NULL, 318.37, 0.00
416, DATE '2007-08-01', 0.00, 868.29, 7.65, 868.30, 1140.00, 8.65, 1140.01, 1447.14, 9.00, 1447.15, NULL, 11.00, NULL, NULL, NULL, 318.37, 0.00
417, DATE '2007-09-01', 0.00, 868.29, 7.65, 868.30, 1140.00, 8.65, 1140.01, 1447.14, 9.00, 1447.15, NULL, 11.00, NULL, NULL, NULL, 318.37, 0.00
418, DATE '2007-10-01', 0.00, 868.29, 7.65, 868.30, 1140.00, 8.65, 1140.01, 1447.14, 9.00, 1447.15, NULL, 11.00, NULL, NULL, NULL, 318.37, 0.00
419, DATE '2007-11-01', 0.00, 868.29, 7.65, 868.30, 1140.00, 8.65, 1140.01, 1447.14, 9.00, 1447.15, NULL, 11.00, NULL, NULL, NULL, 318.37, 0.00
420, DATE '2007-12-01', 0.00, 868.29, 7.65, 868.30, 1140.00, 8.65, 1140.01, 1447.14, 9.00, 1447.15, NULL, 11.00, NULL, NULL, NULL, 318.37, 0.00
421, DATE '2008-01-01', 0.00, 868.29, 8.00, 868.30, 1447.14, 9.00, 1447.15, NULL, 11.00, NULL, NULL, NULL, NULL, NULL, NULL, 318.37, 0.00
422, DATE '2008-02-01', 0.00, 868.29, 8.00, 868.30, 1447.14, 9.00, 1447.15, NULL, 11.00, NULL, NULL, NULL, NULL, NULL, NULL, 318.37, 0.00
423, DATE '2008-03-01', 0.00, 911.70, 8.00, 911.71, 1519.50, 9.00, 1519.51, NULL, 11.00, NULL, NULL, NULL, NULL, NULL, NULL, 334.29, 0.00
424, DATE '2008-04-01', 0.00, 911.70, 8.00, 911.71, 1519.50, 9.00, 1519.51, NULL, 11.00, NULL, NULL, NULL, NULL, NULL, NULL, 334.29, 0.00
425, DATE '2008-05-01', 0.00, 911.70, 8.00, 911.71, 1519.50, 9.00, 1519.51, NULL, 11.00, NULL, NULL, NULL, NULL, NULL, NULL, 334.29, 0.00
426, DATE '2008-06-01', 0.00, 911.70, 8.00, 911.71, 1519.50, 9.00, 1519.51, NULL, 11.00, NULL, NULL, NULL, NULL, NULL, NULL, 334.29, 0.00
427, DATE '2008-07-01', 0.00, 911.70, 8.00, 911.71, 1519.50, 9.00, 1519.51, NULL, 11.00, NULL, NULL, NULL, NULL, NULL, NULL, 334.29, 0.00
428, DATE '2008-08-01', 0.00, 911.70, 8.00, 911.71, 1519.50, 9.00, 1519.51, NULL, 11.00, NULL, NULL, NULL, NULL, NULL, NULL, 334.29, 0.00
429, DATE '2008-09-01', 0.00, 911.70, 8.00, 911.71, 1519.50, 9.00, 1519.51, NULL, 11.00, NULL, NULL, NULL, NULL, NULL, NULL, 334.29, 0.00
