c0;c1;c2;c3;c4;c5;c6;c7;c8;c9;c10;c11;c12;c13;c14;c15;c16;c17;c18;c19
304, DATE '1992-04-01', 1.000000, DATE '1992-06-01'
305, DATE '1992-05-01', 1.000000, DATE '1992-07-01'
306, DATE '1992-06-01', 1.000000, DATE '1992-08-01'
307, DATE '1992-07-01', 1.000000, DATE '1992-09-01'
308, DATE '1992-08-01', 1.000000, DATE '1992-10-01'
309, DATE '1992-09-01', 1.000000, DATE '1992-11-01'
310, DATE '1992-10-01', 1.000000, DATE '1992-12-01'
311, DATE '1992-11-01', 1.000000, DATE '1993-01-01'
312, DATE '1992-12-01', 1.000000, DATE '1993-02-01'
313, DATE '1993-01-01', 1.000000, DATE '1993-03-01'
314, DATE '1993-02-01', 1.000000, DATE '1993-04-01'
315, DATE '1993-03-01', 1.000000, DATE '1993-05-01'
316, DATE '1993-04-01', 1.000000, DATE '1993-06-01'
317, DATE '1993-05-01', 1.000000, DATE '1993-07-01'
318, DATE '1993-06-01', 1.000000, DATE '1993-08-01'
319, DATE '1993-07-01', 1.000000, DATE '1993-09-01'
473, DATE '2006-05-01', 1.170000, DATE '2006-07-01'
474, DATE '2006-06-01', 1.260000, DATE '2006-08-01'
475, DATE '2006-07-01', 1.060000, DATE '2006-09-01'
476, DATE '2006-08-01', 1.090000, DATE '2006-10-01'
477, DATE '2006-09-01', 1.020000, DATE '2006-11-01'
478, DATE '2006-10-01', 1.000000, DATE '2006-12-01'
479, DATE '2006-11-01', 1.080000, DATE '2007-01-01'
480, DATE '2006-12-01', 1.000000, DATE '2007-02-01'
481, DATE '2007-01-01', 1.050000, DATE '2007-03-01'
482, DATE '2007-02-01', 1.000000, DATE '2007-04-01'
483, DATE '2007-03-01', 1.030000, DATE '2007-05-01'
484, DATE '2007-04-01', 1.000000, DATE '2007-06-01'
485, DATE '2007-05-01', 1.000000, DATE '2007-07-01'
486, DATE '2007-06-01', 1.000000, DATE '2007-08-01'
487, DATE '2007-07-01', 1.000000, DATE '2007-09-01'
488, DATE '2007-08-01', 0.930000, DATE '2007-10-01'
489, DATE '2007-09-01', 0.840000, DATE '2007-11-01'
490, DATE '2007-10-01', 0.840000, DATE '2007-12-01'
491, DATE '2007-11-01', 0.930000, DATE '2008-01-01'
492, DATE '2007-12-01', 0.800000, DATE '2008-02-01'
493, DATE '2008-01-01', 0.840000, DATE '2008-03-01'
494, DATE '2008-02-01', 0.900000, DATE '2008-04-01'
495, DATE '2008-03-01', 0.880000, DATE '2008-05-01'
496, DATE '2008-04-01', 0.960000, DATE '2008-06-01'
497, DATE '2008-05-01', 1.070000, DATE '2008-07-01'
498, DATE '2008-06-01', 1.020000, DATE '2008-08-01'
